position,discord_id,username,insc_held,balance,mined,exact_guesses,max_reward,fav_glyph,lucky_glyph
536,864330810832191539,shafinimtiaz07,1,10562,21,1,4591,"ᚷ","ᛟ"
537,798185968448045057,"K Venkat#2022",1,10550,25,2,3308,"ᚺ","ᚺ"
538,860789921379385344,"Ravish kumar",1,10539,30,1,4245,"ᛒ","ᚱ"
539,908666007768408104,kvkumar#7167,1,10536,24,1,5625,"ᚲ","ᚠ"
540,866951619643441183,"Sandeep7564⛓ SubQuery",1,10535,9,1,8823,"ᚦ","ᚦ"
541,1198319943826026517,Dubey,1,10529,33,1,3879,"ᛜ","ᛃ"
542,979967238532628510,Victor,1,10528,13,1,6923,"ᛜ","ᚢ"
543,951777106185031710,Rahmani,1,10519,27,2,4687,"ᚱ","ᚱ"
544,837403623184138271,Shubham10102000,1,10507,26,1,4687,"ᚷ","ᚱ"
545,706499274036477972,daniilmonin2003,1,10498,10,1,8035,"ᛉ","ᛉ"
546,970453019214901258,lelik,1,10470,25,1,4591,"ᚱ","ᚦ"
547,877852339682312202,"gangster | Web3Go 🕵",1,10457,34,1,3214,"ᛃ","ᛃ"
548,963208637126434826,"Aftab | 0xScore",1,10441,27,1,2678,"ᚷ","ᛗ"
549,1103603255172407396,suresh,1,10416,3,1,10227,"ᛊ","ᛊ"
550,913336747188965416,feresher,1,10397,34,1,3214,"ᛃ","ᛃ"
551,858291884938362900,tausif,1,10389,20,1,7031,"ᚾ","ᚾ"
552,1040864428645691432,syOGGY,1,10387,23,1,6923,"ᛖ","ᚢ"
553,863425509010440202,"Sanjit Hasan | Web3Go",1,10374,34,1,3629,"ᛗ","ᛞ"
554,431753264443293697,grim_gliss,1,10355,30,1,4017,"ᚱ","ᛖ"
555,670592467946700823,"MD: HABIB",1,10345,28,1,2678,"ᚷ","ᛗ"
556,1036124058607177800,PinisettyL,1,10333,27,1,7031,"ᛊ","ᚾ"
557,1093117067483422765,goropmuoi89,1,10322,29,1,4687,"ᛒ","ᛖ"
558,1214143203180281887,"Cryptomines Dc",1,10321,18,2,4017,"ᛇ","ᚺ"
559,770874175258361858,arifvai,1,10309,15,2,4591,"ᚺ","ᚺ"
560,1178951482603732992,Saqib,1,10297,34,1,3214,"ᛃ","ᛃ"
561,671659403090460713,"Elijah👑",1,10285,21,2,4687,"ᛉ","ᛉ"
562,1200539664231178344,Yasar,1,10281,5,1,8823,"ᛞ","ᚦ"
563,1077894211187261500,Sultana,1,10262,9,1,6923,"ᚢ","ᚢ"
564,1190701511353831514,"Elijah Paul",1,10262,19,1,6923,"ᛉ","ᚢ"
565,1040306710868398172,azorafashion22,1,10246,19,2,4687,"ᛞ","ᛖ"
566,1166091386727190679,Ashish,1,10231,24,1,4591,"ᚦ","ᚦ"
567,711231921203445770,lavyakoli01,1,10199,11,1,7894,"ᛖ","ᛒ"
568,903164336741171261,puzari,1,10179,13,1,8333,"ᛖ","ᛚ"
569,796384448668762123,vikash,1,10176,26,1,6716,"ᛞ","ᚱ"
570,661130373006229535,"Johnnn | Web3Go",1,10150,34,1,3879,"ᛇ","ᛃ"
571,1094833996610928681,gulliver,1,10124,33,1,3879,"ᛃ","ᛃ"
572,1060964906133897246,Cruz699,1,10121,23,1,6716,"ᛇ","ᚱ"
573,1147855871519510528,deadsea,1,10119,15,1,5696,"ᛗ","ᛊ"
574,1205369392259670049,"Logaan02 | Web3Go",1,10113,32,1,3813,"ᚢ","ᚺ"
575,967116880588472350,rock9040,1,10098,34,1,5696,"ᚹ","ᛊ"
576,488663313031495680,sankibunny,1,10096,33,1,4245,"ᛏ","ᚱ"
577,901833325063335997,"ramesh59 | Web3Go",1,10096,21,2,4017,"ᚱ","ᚢ"
578,871761648510189598,hellboy6#2171,1,10095,15,1,8035,"ᛉ","ᛉ"
579,1028401669404377159,"rakhi,   ""| Full Force""",1,10086,34,1,2472,"ᚷ","ᚺ"
580,1206995715197501511,"Ignorant aspirant",1,10081,31,1,4245,"ᛊ","ᚱ"
581,871641685447307275,itzankiii,1,10071,18,1,8333,"ᛞ","ᛚ"
582,797138870764306511,Mithun01,1,10068,9,1,8035,"ᛖ","ᛉ"
583,1073285003292717096,Mohona325,1,10048,19,1,5696,"ᛞ","ᛊ"
584,1162771217980342302,imtiredsudip,1,10041,30,1,4500,"ᛜ","ᛜ"
585,881257150238818314,"suntupaul  | Web3Go",1,10039,7,1,8823,"ᛒ","ᚦ"
586,942352633186877492,salman,1,10025,6,1,8035,"ᛖ","ᛉ"
587,509047580165013514,"Crazy Guy",1,10018,34,1,3813,"ᚹ","ᚺ"
588,948865362768834580,thaseen,1,10009,30,1,4500,"ᛈ","ᛜ"
589,958688396082028554,_pankaj,1,10003,10,1,6716,"ᛏ","ᚱ"
590,831217405161111576,Professor,1,9998,25,1,3813,"ᛃ","ᚺ"
591,949493662549692489,hawahonor,1,9990,7,1,8823,"ᚷ","ᚦ"
592,900274791561441300,brotherhood4574,1,9988,34,1,2884,"ᛉ","ᛉ"
593,512948552117387275,sarveshla,1,9986,23,2,3879,"ᛖ","ᛃ"
594,1042111711135666207,"Akatsuki⛓ SubQuery",1,9975,26,1,4687,"ᛒ","ᚱ"
595,831924515688022096,"Extenstic Ereection E²",1,9971,7,1,6923,"ᛚ","ᚢ"
596,1213522443667251280,Wen,1,9962,6,1,7894,"ᛒ","ᛒ"
